batter,clutch,balls
MK Tiwary,-1.6109938612789847,1450
B Kumar,-1.6309926928661298,383
SN Khan,-1.6465686587325763,534
AM Rahane,-1.8396438425406814,4284
Y Venugopal Rao,-1.9663939578749705,864
MK Pandey,-2.0777284894138575,3367
GC Smith,-2.2045412035658956,691
R Ashwin,-3.146279824868543,724
NV Ojha,-3.1897224075801205,1291
JH Kallis,-4.016326928482158,2254
Mandeep Singh,-4.0219470048032235,1390
PA Patel,-4.298482323996723,2380
