batter,season,clutch,balls
SK Raina,2018,0.5277729630470276,354
AT Rayudu,2011,0.518904022872448,355
SK Raina,2009/10,0.5183115378022194,384
S Dhawan,2017,0.5180908441543579,370
R Dravid,2013,0.5042782723903656,433
JC Buttler,2025,0.49760493356734514,308
V Kohli,2020/21,0.49581154153565876,400
AT Rayudu,2018,0.4877328425645828,410
SS Tiwary,2009/10,0.4850039631128311,319
KS Williamson,2018,0.47452574502676725,522
V Kohli,2025,0.4743240773677826,466
N Rana,2021,0.45262879878282547,325
G Gambhir,2011,0.42526619136333466,304
D Padikkal,2020/21,0.42502193339169025,398
KL Rahul,2019,0.40740385465323925,447
SA Yadav,2018,0.40213485062122345,391
M Vijay,2016,0.4015188366174698,365
SS Iyer,2015,0.3973340392112732,341
JP Duminy,2009,0.396520440466702,334
V Kohli,2011,0.3825982101261616,457
HH Pandya,2022,0.341341108083725,387
MS Dhoni,2007/08,0.3389471024274826,319
SK Raina,2012,0.3342302590608597,335
Shubman Gill,2025,0.33162543177604675,386
Shubman Gill,2021,0.32256180327385664,415
S Dhawan,2012,0.3163469731807709,448
G Gambhir,2007/08,0.31427126191556454,362
AJ Finch,2013,0.3100266205146909,344
F du Plessis,2015,0.3062959611415863,317
RD Gaikwad,2021,0.30427481792867184,474
RG Sharma,2021,0.29600140266120434,307
DA Warner,2020/21,0.2928767101839185,422
RG Sharma,2015,0.2873901380226016,339
BJ Hodge,2009,0.2848240062594414,303
G Gambhir,2013,0.2789549231529236,354
SV Samson,2022,0.2773251533508301,321
SA Yadav,2019,0.264288954436779,327
F du Plessis,2012,0.2596804201602936,310
DA Warner,2022,0.25144626200199127,301
V Kohli,2018,0.2497893124818802,385
MK Pandey,2020/21,0.24916674196720123,350
V Kohli,2023,0.23878341913223267,473
C Connolly,2026,0.2353694336488843,316
RG Sharma,2012,0.22984335105866194,350
DJ Hussey,2012,0.2179891224950552,313
KL Rahul,2020/21,0.209167018532753,525
SS Iyer,2022,0.19597056787461042,310
KL Rahul,2024,0.18701335787773132,398
S Dhawan,2018,0.18206188082695007,379
MEK Hussey,2011,0.1747816801071167,387
SR Watson,2019,0.15582368522882462,321
RV Uthappa,2012,0.15151053201407194,357
Shubman Gill,2022,0.14111940562725067,374
Ishan Kishan,2020/21,0.14069044866482727,361
RR Pant,2021,0.1285274177789688,339
A Symonds,2009/10,0.11819695492158644,356
Abhishek Sharma,2022,0.07440282870084047,329
MS Dhoni,2018,0.054011767701013014,321
KL Rahul,2026,0.05214424431324005,355
