bowler,season,clutch,balls
Arshdeep Singh,2025,0.12684587109833956,367
Ravi Bishnoi,2020/21,0.1258316319435835,318
R Ashwin,2020/21,0.11857737973332405,312
HV Patel,2022,0.11570318412850611,338
Z Khan,2011,0.10884532146155834,355
Sandeep Sharma,2020/21,0.10746668558567762,317
Kuldeep Yadav,2022,0.10280971508473158,306
Mustafizur Rahman,2021,0.09339025430381298,327
YS Chahal,2024,0.08940798044204712,362
SK Warne,2009,0.07917156256735325,313
Suyash Sharma,2025,0.07836294732987881,305
A Mishra,2011,0.07581482268869877,324
KK Cooper,2013,0.07034146226942539,341
JJ Bumrah,2022,0.04786038398742676,327
SN Thakur,2021,0.04250193206826225,388
B Kumar,2019,0.03893960267305374,367
UT Yadav,2013,0.004499942064285278,363
M Morkel,2014,0.0020073838531970978,305
SP Narine,2018,-0.004860282875597477,353
AB Dinda,2013,-0.008851615712046623,304
Mohammed Shami,2019,-0.014593839674489573,331
Noor Ahmad,2026,-0.029491675086319447,314
TA Boult,2025,-0.04719877988100052,333
SK Warne,2007/08,-0.05048792716115713,319
PP Chawla,2013,-0.05049288645386696,352
TU Deshpande,2023,-0.07619203440845013,338
JJ Bumrah,2026,-0.07721394300460815,318
Arshdeep Singh,2026,-0.07839460019022226,335
A Kamboj,2026,-0.07844855822622776,315
C Sakariya,2021,-0.08172129839658737,334
MC Henriques,2016,-0.08722950331866741,306
RD Chahar,2020/21,-0.0908709894574713,323
Noor Ahmad,2025,-0.09162411279976368,314
DL Chahar,2019,-0.10249973461031914,400
TA Boult,2022,-0.1215743301436305,387
M Prasidh Krishna,2022,-0.13196619786322117,432
MJ McClenaghan,2017,-0.1361771635711193,345
Shakib Al Hasan,2018,-0.13958647847175598,345
SR Watson,2016,-0.16290477849543095,346
DJ Bravo,2018,-0.16432991158217192,338
DW Steyn,2014,-0.17421187460422516,318
K Rabada,2021,-0.1798229655250907,346
JH Kallis,2013,-0.18943540751934052,329
Mohammed Shami,2026,-0.18975569307804108,300
DL Chahar,2020/21,-0.19041508436203003,321
PJ Cummins,2020/21,-0.20342890080064535,321
B Kumar,2025,-0.20446048490703106,318
Sandeep Sharma,2017,-0.21901647560298443,300
DL Chahar,2021,-0.22250409892876633,339
HV Patel,2024,-0.2333744764328003,317
AJ Tye,2018,-0.23624939474393614,327
KK Ahmed,2024,-0.24227162916213274,324
I Sharma,2013,-0.2460494339466095,374
TU Deshpande,2024,-0.26434624567627907,310
SK Trivedi,2013,-0.26692844089120626,368
JC Archer,2026,-0.28303799591958523,379
R Vinay Kumar,2012,-0.29131719190627337,346
Rashid Khan,2025,-0.30127229541540146,312
Ravi Bishnoi,2022,-0.30480336394975893,340
Arshdeep Singh,2023,-0.3118053628131747,306
SN Thakur,2022,-0.34107292257249355,315
DJ Bravo,2012,-0.3443657234311104,363
Prince Yadav,2026,-0.350859597325325,306
KH Pandya,2020/21,-0.3581987079232931,315
IK Pathan,2012,-0.37083978205919266,366
DJ Bravo,2016,-0.3765327474102378,348
MM Sharma,2014,-0.38046008441597223,324
MG Johnson,2014,-0.3902908070012927,340
Harbhajan Singh,2014,-0.40622611343860626,336
T Natarajan,2020/21,-0.41841828168253414,389
